Mask value ; Group I ; Group II ; Group III ; Group IV ; Group V ; Group VI ; Group VII ; Group VIII ; Group IX ; Group X ; Group XI ; Group XII ; Group XIII ;
110010|0|2|0 ; - ; 8.28 ; - ; 3.11 ; - ; 30.43 ; 25.68 ; 5.64 ; 0.57 ; 11.20 ; 15.08 ; - ; - ; 
110010|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110010|1|1|0 ; - ; - ; - ; 4.30 ; 46.18 ; - ; - ; 8.57 ; 1.17 ; 16.90 ; 22.89 ; - ; - ; 
110010|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110010|1|2|0 ; - ; - ; - ; 8.20 ; - ; - ; - ; 16.07 ; 1.43 ; 31.60 ; 42.71 ; - ; - ; 
110010|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110011|0|1|0 ; - ; 5.76 ; 6.21 ; 2.41 ; 22.66 ; 22.50 ; 16.74 ; 4.17 ; 0.31 ; 8.14 ; 11.10 ; - ; - ; 
110011|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110011|0|2|0 ; - ; 8.18 ; - ; 3.73 ; - ; 31.00 ; 23.37 ; 5.89 ; 0.63 ; 11.59 ; 15.61 ; - ; - ; 
110011|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110011|1|1|0 ; - ; - ; - ; 5.00 ; 45.53 ; - ; - ; 8.60 ; 0.89 ; 17.02 ; 22.96 ; - ; - ; 
110011|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110011|1|2|0 ; - ; - ; - ; 9.30 ; - ; - ; - ; 15.71 ; 1.12 ; 31.55 ; 42.33 ; - ; - ; 
110011|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110100|0|1|0 ; - ; 5.99 ; 4.87 ; 3.08 ; 23.07 ; 23.85 ; 14.48 ; 4.33 ; 0.42 ; 8.49 ; 11.42 ; - ; - ; 
110100|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110100|0|2|0 ; - ; 8.49 ; - ; 4.21 ; - ; 32.29 ; 20.61 ; 6.00 ; 0.40 ; 11.90 ; 16.10 ; - ; - ; 
110100|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110100|1|1|0 ; - ; - ; - ; 5.78 ; 45.74 ; - ; - ; 8.54 ; 0.53 ; 16.79 ; 22.62 ; - ; - ; 
110100|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110100|1|2|0 ; - ; - ; - ; 10.99 ; - ; - ; - ; 15.64 ; 1.20 ; 30.70 ; 41.47 ; - ; - ; 
110100|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110101|0|1|0 ; - ; 6.33 ; 3.07 ; 3.78 ; 24.12 ; 25.63 ; 11.78 ; 4.43 ; 0.18 ; 8.76 ; 11.92 ; - ; - ; 
110101|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110101|0|2|0 ; - ; 8.78 ; - ; 5.39 ; - ; 33.27 ; 16.83 ; 6.33 ; 0.20 ; 12.33 ; 16.86 ; - ; - ; 
110101|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110101|1|1|0 ; - ; - ; - ; 7.00 ; 45.66 ; - ; - ; 8.26 ; 0.37 ; 16.58 ; 22.13 ; - ; - ; 
110101|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110101|1|2|0 ; - ; - ; - ; 13.11 ; - ; - ; - ; 15.46 ; 0.74 ; 29.86 ; 40.82 ; - ; - ; 
110101|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110110|0|1|0 ; - ; 6.68 ; 0.78 ; 4.48 ; 25.92 ; 26.71 ; 8.38 ; 4.75 ; 0.19 ; 9.45 ; 12.66 ; - ; - ; 
110110|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110110|0|2|0 ; - ; 8.98 ; - ; 6.33 ; - ; 35.67 ; 11.56 ; 6.63 ; 0.21 ; 13.17 ; 17.46 ; - ; - ; 
110110|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110110|1|1|0 ; - ; - ; - ; 8.09 ; 45.04 ; - ; - ; 8.19 ; 0.30 ; 16.45 ; 21.93 ; - ; - ; 
110110|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110110|1|2|0 ; - ; - ; - ; 14.76 ; - ; - ; - ; 15.13 ; 0.53 ; 29.87 ; 39.70 ; - ; - ; 
110110|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110111|0|1|0 ; - ; 7.07 ; - ; 5.81 ; 27.48 ; 27.38 ; 3.43 ; 5.08 ; 0.05 ; 10.15 ; 13.56 ; - ; - ; 
110111|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110111|0|2|0 ; - ; 9.73 ; - ; 8.28 ; - ; 37.66 ; 4.62 ; 7.16 ; 0.18 ; 13.82 ; 18.55 ; - ; - ; 
110111|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110111|1|1|0 ; - ; - ; - ; 9.62 ; 43.99 ; - ; - ; 8.36 ; 0.04 ; 16.30 ; 21.69 ; - ; - ; 
110111|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
110111|1|2|0 ; - ; - ; - ; 16.62 ; - ; - ; - ; 14.86 ; 0.30 ; 29.04 ; 39.19 ; - ; - ; 
110111|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111000|0|1|0 ; - ; 7.43 ; - ; 7.40 ; 28.35 ; 27.46 ; - ; 5.23 ; 0.03 ; 10.35 ; 13.75 ; - ; - ; 
111000|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111000|0|2|0 ; - ; 10.20 ; - ; 9.86 ; - ; 38.60 ; - ; 7.36 ; 0.04 ; 14.58 ; 19.35 ; - ; - ; 
111000|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111000|1|1|0 ; - ; - ; - ; 11.07 ; 43.45 ; - ; - ; 8.06 ; 0.14 ; 16.05 ; 21.23 ; - ; - ; 
111000|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111000|1|2|0 ; - ; - ; - ; 19.99 ; - ; - ; - ; 14.24 ; 0.16 ; 28.29 ; 37.31 ; - ; - ; 
111000|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111001|0|1|0 ; - ; 7.08 ; - ; 8.77 ; 27.57 ; 27.98 ; - ; 5.08 ; 0.03 ; 10.16 ; 13.32 ; - ; - ; 
111001|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111001|0|2|0 ; - ; 9.80 ; - ; 12.01 ; - ; 39.05 ; - ; 6.95 ; - ; 13.90 ; 18.30 ; - ; - ; 
111001|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111001|1|1|0 ; - ; - ; - ; 13.54 ; 42.68 ; - ; - ; 7.65 ; 0.10 ; 15.53 ; 20.50 ; - ; - ; 
111001|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111001|1|2|0 ; - ; - ; - ; 23.17 ; - ; - ; - ; 13.63 ; - ; 27.19 ; 36.01 ; - ; - ; 
111001|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111010|0|1|0 ; - ; 6.99 ; - ; 10.68 ; 27.00 ; 27.46 ; - ; 4.92 ; - ; 10.05 ; 12.90 ; - ; - ; 
111010|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111010|0|2|0 ; - ; 9.85 ; - ; 14.63 ; - ; 37.31 ; - ; 6.83 ; - ; 13.55 ; 17.82 ; - ; - ; 
111010|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111010|1|1|0 ; - ; - ; - ; 16.31 ; 40.94 ; - ; - ; 7.74 ; 0.06 ; 15.13 ; 19.82 ; - ; - ; 
111010|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111010|1|2|0 ; - ; - ; - ; 28.26 ; - ; - ; - ; 12.81 ; 0.10 ; 25.27 ; 33.56 ; - ; - ; 
111010|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111011|0|1|0 ; - ; 6.56 ; - ; 13.22 ; 26.15 ; 27.40 ; - ; 4.76 ; - ; 9.67 ; 12.24 ; - ; - ; 
111011|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111011|0|2|0 ; - ; 9.14 ; - ; 18.52 ; - ; 35.54 ; - ; 6.71 ; - ; 13.13 ; 16.97 ; - ; - ; 
111011|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111011|1|1|0 ; - ; - ; - ; 20.42 ; 39.07 ; - ; - ; 7.16 ; - ; 14.67 ; 18.68 ; - ; - ; 
111011|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111011|1|2|0 ; - ; - ; - ; 32.15 ; - ; - ; - ; 12.19 ; - ; 24.30 ; 31.36 ; - ; - ; 
111011|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111100|0|1|0 ; - ; 6.49 ; - ; 17.35 ; 24.97 ; 26.13 ; - ; 4.50 ; 0.06 ; 9.15 ; 11.35 ; - ; - ; 
111100|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111100|0|2|0 ; - ; 8.78 ; - ; 22.88 ; - ; 34.60 ; - ; 5.96 ; - ; 12.47 ; 15.32 ; - ; - ; 
111100|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111100|1|1|0 ; - ; - ; - ; 25.09 ; 37.07 ; - ; - ; 7.01 ; - ; 13.57 ; 17.27 ; - ; - ; 
111100|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111100|1|2|0 ; - ; - ; - ; 39.62 ; - ; - ; - ; 10.74 ; - ; 22.20 ; 27.45 ; - ; - ; 
111100|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111101|0|1|0 ; - ; 5.75 ; - ; 23.37 ; 23.70 ; 24.10 ; - ; 4.30 ; - ; 8.46 ; 10.32 ; - ; - ; 
111101|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111101|0|2|0 ; - ; 7.70 ; - ; 32.50 ; - ; 29.63 ; - ; 5.69 ; - ; 11.01 ; 13.47 ; - ; - ; 
111101|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111101|1|1|0 ; - ; - ; - ; 33.93 ; 33.00 ; - ; - ; 6.14 ; - ; 11.96 ; 14.97 ; - ; - ; 
111101|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111101|1|2|0 ; - ; - ; - ; 50.38 ; - ; - ; - ; 9.31 ; - ; 18.40 ; 21.91 ; - ; - ; 
111101|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111110|0|1|0 ; - ; 4.96 ; - ; 34.36 ; 20.38 ; 20.20 ; - ; 3.91 ; - ; 7.51 ; 8.68 ; - ; - ; 
111110|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111110|0|2|0 ; - ; 6.36 ; - ; 42.75 ; - ; 26.30 ; - ; 4.81 ; - ; 9.21 ; 10.58 ; - ; - ; 
111110|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111110|1|1|0 ; - ; - ; - ; 47.36 ; 26.68 ; - ; - ; 4.91 ; - ; 9.81 ; 11.25 ; - ; - ; 
111110|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111110|1|2|0 ; - ; - ; - ; 63.60 ; - ; - ; - ; 6.71 ; - ; 13.54 ; 16.15 ; - ; - ; 
111110|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111111|0|1|0 ; - ; 2.48 ; - ; 63.73 ; 11.57 ; 10.77 ; - ; 2.09 ; - ; 4.33 ; 5.05 ; - ; - ; 
111111|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111111|0|2|0 ; - ; 3.43 ; - ; 71.63 ; - ; 12.04 ; - ; 2.43 ; - ; 4.93 ; 5.55 ; - ; - ; 
111111|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111111|1|1|0 ; - ; - ; - ; 73.23 ; 13.71 ; - ; - ; 2.51 ; - ; 4.94 ; 5.60 ; - ; - ; 
111111|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
111111|1|2|0 ; - ; - ; - ; 85.45 ; - ; - ; - ; 2.75 ; - ; 5.53 ; 6.27 ; - ; - ; 
111111|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
